Fable Sounds,3,2993, $997.67 
Hornberg Research,1,881.28, $881.28 
Magix,7,4870.13, $695.73 
Native Instruments,11,6384.35, $580.40 
Audioease,5,2895.93, $579.19 
Project SAM,28,14283.53, $510.13 
Zynaptiq,14,6407.15, $457.65 
Make Music,2,778.07, $389.04 
V3 SOUND,1,386.06, $386.06 
Spectrasonics,5,1845, $369.00 
cinesamples,51,18605, $364.80 
Audionamix,10,3590, $359.00 
Cinematic Strings,6,2108, $351.33 
Synchro Arts,4,1365.59, $341.40 
Steinberg,10,3411.01, $341.10 
Pro Audio DSP,1,326.51, $326.51 
Strezov Sampling,20,6500, $325.00 
Flux,25,8075, $323.00 
Arturia,2,644.98, $322.49 
Vertigo,1,299, $299.00 
Vital Arts,1,299, $299.00 
IK-Multimedia,19,5620.17, $295.80 
Ableton,5,1471.78, $294.36 
FabFilter,21,5851.38, $278.64 
Celemony,6,1557.13, $259.52 
Elysia,3,741.35, $247.12 
Wallander Instruments,4,986, $246.50 
Evolution Series,11,2709, $246.27 
Neocymatics,1,245, $245.00 
iZotope,56,13557.66, $242.10 
Eventide,16,3759.05, $234.94 
Antares,10,2292.52, $229.25 
Maag Audio,1,229, $229.00 
Brainworx,25,5670.8, $226.83 
Zplane,4,836, $209.00 
East West,60,12294.23, $204.90 
Drumasonic,1,199, $199.00 
Three-Body Tech,1,199, $199.00 
Presonus,5,993.42, $198.68 
Sample Logic,11,2136.73, $194.25 
Tovusound,3,557, $185.67 
McDSP,30,5518, $183.93 
KEEPFOREST,7,1273, $181.86 
Embertone,5,875, $175.00 
Best Service Gift-Voucher,2,349.62, $174.81 
Synthogy,8,1382, $172.75 
Prominy,6,1035, $172.50 
SoundRadix,5,845, $169.00 
Ample Sound,32,5397, $168.66 
Lexicon,5,834.64, $166.93 
HybridTwo,3,497, $165.67 
SPL,8,1292.13, $161.52 
Vir2 (by Big Fish),17,2672.25, $157.19 
Crypton,7,1098, $156.86 
Deskew Technologies,3,457, $152.33 
Handheld Sound,4,596, $149.00 
Realsamples,16,2368.95, $148.06 
Slate Digital,27,3995.4, $147.98 
Chandler Limited,1,147.87, $147.87 
ENGL,1,147.87, $147.87 
Virtual Guitarist,10,1467.3, $146.73 
Eiosis,4,566.04, $141.51 
UVI,60,8410, $140.17 
VILabs,5,696.5, $139.30 
Modartt,23,3203.71, $139.29 
MVPloops,4,556, $139.00 
U-HE,9,1247, $138.56 
SoundLib,2,276.95, $138.48 
Sugar Bytes,14,1931.28, $137.95 
Overloud,3,407, $135.67 
accusonus,12,1618, $134.83 
Waldorf,5,659.96, $131.99 
Lindell Audio,3,393.99, $131.33 
In Session Audio,5,655, $131.00 
Rob Papen,15,1942.54, $129.50 
Best Service,183,23159.01, $126.55 
SonuScore,3,377, $125.67 
Soundiron,78,9793, $125.55 
Ueberschall,183,21783, $119.03 
Re-Compose,2,236.95, $118.48 
Gospelmusicians,6,709.35, $118.23 
Softube,51,5927.65, $116.23 
Heavyocity,32,3631.2, $113.48 
Audified,14,1581, $112.93 
Tone2,11,1185, $107.73 
Waves,113,12030.82, $106.47 
e-instruments,7,739.02, $105.57 
MusicLab,11,1149, $104.45 
Acousticsamples,6,625.8, $104.30 
XLN Audio,36,3735.45, $103.76 
Cinematique Instruments,18,1805.15, $100.29 
Impact Soundworks,21,2085, $99.29 
Sonible,5,496.23, $99.25 
Plug And Mix,2,198, $99.00 
IRCAM Lab,2,198, $99.00 
Avid,2,196.5, $98.25 
Polyverse Music,4,383.09, $95.77 
AAS,7,666.43, $95.20 
Output,26,2464, $94.77 
2nd Sense Audio,2,188, $94.00 
Umlaut Audio,9,820.25, $91.14 
Soniccouture,24,2182, $90.92 
Gothic Instruments,11,989.46, $89.95 
Sample Magic,5,392, $78.40 
PSOUND,3,213, $71.00 
Big Fish Audio,249,17395.14, $69.86 
Arobas Music,1,69.47, $69.47 
Audiowiesel,3,207.86, $69.29 
Sonivox,3,205.43, $68.48 
Toontrack,153,10101.04, $66.02 
Unfiltered Audio,3,185.59, $61.86 
Bluezone,5,298.49, $59.70 
WaveDNA,3,177.65, $59.22 
Divergent Audio Group,2,111.15, $55.57 
Zero-G,184,7443.42, $40.45 
Audioworkshop,12,474.4, $39.53 
Pace,1,38.71, $38.71 
Nomad Factroy,3,113, $37.67 
DVD-Lernkurs,29,1086.51, $37.47 
Power FX,4,115.13, $28.78 
